Kurs;Lektionsname;Art;Minuten Timeout;Eicheln;Reihenfolge in Kurs;aktiviert zu Beginn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 1;Info;0;13;1;1;Dies ist eine <b>Einführung</b>;Text und Bilder sind gemeinsam möglich;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;Das ist ein Bild, an welchem wir keine Rechte haben.;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;<img src="http://coolwildlife.com/wp-content/uploads/galleries/post-3004/Fox%20Picture%20003.jpg" alt="Fox red nice" style="float:below">;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 2;Video;0;16;2;1;Hier haben wir versucht, ein Video einzubauen;_slide_;[VIDEO]<iframe width="800" height="600" src="https://www.youtube.com/embed/k_GM1JA608Y?rel=0" frameborder="0" gesture="media" allow="encrypted-media" allowfullscreen></iframe>;_slide_;[VIDEO]https://media.giphy.com/media/3o6vXGPiEH5yY7QORi/giphy.mp4;_slide_;hoffentlich hat das geklappt…;gutes Video oder?;:*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TestKurs;Lektion 3;Quiz;120;30;3;1;Dieses Quiz ist leicht;_slide_;[QUIZ]A, B oder C? Es sind drei Antworten korrekt…;0A;response+:Nice!;1B;1C;1D;0E;0F;response-:ohohoh...;_slide_;war leicht oder?;_slide_;so nächstes Quiz;_slide_;[QUIZ]Was macht ein Koalabär?;0zerfleischen;1essen;0rauchen;1schlafen;_slide_;nagut reicht auch wieder;_slide_;[CERT]5;Das war gut! Ich bin stolz!;Nene das war scheiße…;;;;;;;;;;;;;;;;;;;
anderer Kurs;Lektion 1;Link;0;7;4;1;Wir haben diesen Artikel herausgesucht, weil wir ihn spannend finden;_slide_;[LINK]https://netzpolitik.org/2017/bald-werden-staatstrojaner-massenhaft-eingesetzt-ausser-es-geschieht-noch-ein-wunder-und-die-spd-verhindert-es/;_slide_;ziemlich schockierend oder?;gefällt uns auch nicht;_slide_;<img src="https://i.imgur.com/X42tPwf.jpg" alt="https://i.imgur.com/X42tPwf.jpg" style="float:below">;_slide_;;_slide_;<img src="https://www.fein-hifi.de/images/product_images/original_images/1218_0_da20mk2_rahmb.jpg" style="float:below">;_slide_;<img src="http://cdn.attackofthecute.com/March-05-2012-23-30-18-tumblrlzkah2LV2I1qzofaho1500.jpeg" alt="A brown and white dog lying on its stomach with its eyes rolled back into its head.">;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erstes Tapsen;Einführung;Info;0;3;1;1;Die Listen;Sicher hast du dich nach dem ersten Öffnen der App direkt gefragt: Was soll das hier eigentlich? Verständlich!;Immerhin bist du mit einer langen Liste konfrontiert worden, mit der du nichts (zumindest nicht viel) anfangen konntest. Die Aufmerksamen unter euch werden auch die zweite lange Liste gefunden haben. Aber auch diese war womöglich nicht ganz selbsterklärend. Deshalb geht es jetzt darum, Licht ins Dunkle zu bringen!;_slide_;Starten wir mit dem Grundkonzept unserer App. Wir wollen dich dazu bringen, mal genauer hinzusehen, was dein Smartphone eigentlich so treibt. Wichtig ist hier zu wissen, dass wir zwischen Smartphone-Einstellungen und App-Berechtigungen unterscheiden.;_slide_;Definition von Smartphone-Einstellungen:;Konfigurationsmöglichkeiten des eigenen Gerätes. Hierzu zählen z.B. die Verbindungseinstellungen mit dem prominenten Gast „WLAN“, allerdings auch die Einstellungen zu Roaming und Nutzung mobiler Daten, die Geräteeinstellungen an sich, sowie „Persönliches“ oder „Nutzer“. Abgesehen von diesen Standard-Einstellungen findet man, abhängig von Android Version und Hersteller des Smartphones, hier auch ab und an nützliche Zusatzeinstellungen.;_slide_;Definition von Berechtigungs-Einstellungen:;Sie ploppen auf und werden meist ohne Nachzudenken bestätigt, die Berechtigungs-Einstellungen!;Apps fordern Berechtigungen an, um auf Ressourcen des Smartphones zugreifen zu können (z.B. die Kamera). Prinzipiell ist dies sehr sinnvoll und sogar gut für uns, denn es gleicht einer Sicherheitsabfrage.;_slide_;Viele Nutzer ignorieren sie jedoch gekonnt und so kommt es immer häufiger vor, dass Apps Berechtigungen für Ressourcen anfordern und erhalten, die sie eigentlich gar nicht brauchen.;_slide_;Wir haben uns überlegt, dass es doch schön wäre, wenn du nicht selbstständig auf die Suche nach irgendwelchen versteckten Einstellungen in Menüs oder Berechtigungsabfragen ganz tief in Apps gehen musst, um herauszufinden, ob das was wir dir gerade erzählt haben auch für dich zutrifft. Deswegen gibt es die kryptischen Listen. Wir reichen dir in dieser Lektion das Werkzeug, um das Geheimnis deiner Einstellungen zu knacken!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erstes Tapsen;Erhorchte Einstellungen;Info;0;3;2;0;Nachdem du die Analyse durchgeführt hast, gelangst du direkt auf die Einstellungsliste. Indem du nach links wischst, wechselst du die Ansicht von der Einstellungs- zur Appliste. An den orangen Streifen oberhalb der Listen ist auch gut zu erkennen, wo du dich befindest.;_slide_;Oben wirst du sicher schon den Namen der Liste erspäht haben. Darunter befinden sich die Einträge. Links steht immer der Name der Einstellung und rechts haben wir für dich abgefragt, wie der aktuelle Status der Einstellung auf deinem Smartphone ist. Die häufigsten Einträge werden „On“ oder „Off“ sein.;_slide_;Klickst du auf einen Listeneintrag öffnet sich ein neues Fenster, in dem die gewählte Einstellung noch einmal ausführlich beschrieben ist. Sollte eine Einstellungen keine Beschreibung haben, liegt das daran, dass uns keine Beschreibung dafür vorliegt. Bitte gib uns Bescheid, damit wir sie in unser Repertoire aufnehmen können. Zurück gelangst du einfach wieder über den Back-Button unten rechts oder durch erneutes Klicken auf den Namen der Einstellung. In der Liste kannst du natürlich auch scrollen!;_slide_;Wir werden dir nach und nach in verschiedenen Kursen erklären, welche Einstellungen unter welchen Umständen wie am besten sind.;_slide_;Trotzdem ein paar Infos am Rande:  Bluetooth sollte ausgeschaltet sein, wenn es nicht akut benutzt wird. WLAN sollte sich nur mit bekannten und von dir verifizierten Netzen automatisch verbinden. Benutze eine Bildschirmsperre! Am besten keinen Code zum Wischen, sondern ein nicht naheliegendes, komplex geschriebenes Passwort. Standorteinstellungen sollten auch überdacht werden und wenn immer möglich abgeschaltet. Übrigens: die meisten Tipps zur Sicherheit helfen auch dabei, dass dein Akku länger hält.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erstes Tapsen;Erschnüffelte Apps;Info;0;3;3;0;Kommen wir nun zu der App-Liste. Um alle Informationen auf einen Blick zu erhalten, ist auch diese simpel gehalten. Aufgelistet sind hier alle Apps, die auf deinem Smartphone sind. Dazu zählen auch vorinstallierte Apps und natürlich Apps, die du aus dem Playstore geladen hast.;Da kommt schon eine ganze Menge zusammen.;_slide_;Zum Lesen der Liste benötigst du kein Vorwissen. Ganz links siehst du das Icon der jeweiligen App, mittig steht der Name (oder auch die Bezeichnung). Die Smileys ganz rechts geben dir eine grobe Bewertung der App. Die Bewertung haben wir uns nicht aus den Fingern gezogen, sondern die Kategorisierung ist von Google übernommen. Google ordnet Berechtigungen in dangerous, normal, other ein.;_slide_;Das Schema wird in den Smileys widergespiegelt durch die Farben und den Ausdruck des Smileys.;Konkret bedeutet das:;dangerous = rot = traurig;normal = orange = neutral;other/keine = grün = glücklich;_slide_;Klickst du auf eine App, öffnet sich eine Übersicht. In der oberen farbigen Zeile findest du erneut Icon und Namen der App. Zusätzlich steht rechts eine Zahl, welche aussagt, wie viele Berechtigungen die gewählte App fordert. In der zweiten Zeile steht die Einstufung der App und darunter sind alle Berechtigungen gelistet.;Die Berechtigungen können ebenfalls ausgewählt werden, wodurch du eine Erklärung der jeweiligen Berechtigung erhältst.;_slide_;Ein ganz besonderes Gadget! Fällt dir auf, dass du einer App die Berechtigung entziehen willst, da sie diese wirklich nicht nutzen sollte, kannst du direkt über den Button „App Einstellungen“ in die Einstellungen der App gelangen, um diese zu ändern (ab Android 6: Marshmallow). Zurück gelangst du wie gehabt über den Back-Button. Unsere Liste unterscheidet dabei allerdings nicht zwischen aktuell erlaubten oder blockierten Berechtigungen.;_slide_;Das waren viele Infos! Möchtest du irgendwann die Analyse noch einmal durchführen, oder auf deine vorherige Auswertung zugreifen, kommst du ganz einfach im Home Bildschirm über Einstellungen zurück.;_slide_;Viel Spaß beim Entdecken von seltsamen Berechtigungen von Apps und Einstellungen, von denen du nie wusstest, dass es sie gibt!;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erstes Tapsen;Hauptmenü und Navigation;Info;0;3;4;0;Wenn du die App zum ersten Mal startest, wirst du durch ein Onboarding geführt und die erste Analyse deines Smartphones wird durchgeführt. Danach gelangst du auf den Startbildschirm der App. Dieser wird dir ab jetzt immer angezeigt, wenn du die App öffnest. Von hier kannst du durch die App navigieren. Er ist unterteilt in die vier Bereiche: Lektionen, Fuchs, Erfolge und Einstellungen.;_slide_;Lektionen;Unter dem Reiter Lektionen kannst du Kurse zum Thema Datenschutz und digitale Privatheit bearbeiten. Kurse sind unterteilt in Lektionen. Hast du eine Lektion abgeschlossen erhältst du hierfür Eicheln und Pilze. Diese kannst du als “Währung” betrachten. Mit Pilzen kannst du neue Kurse freischalten. Mit Eicheln kannst du weitere Animationen für den Fuchs freischalten, aber dazu später mehr.;Wenn du auf einen Kurs geklickt hast, öffnen sich die Lektionen des Kurses. Ganz oben in der ersten Zeile steht der Name des Kurses und darunter siehst du drei kleine Punkte. Tippst du diese an, erscheint eine Beschreibung für den Kurs. Nicht alle Lektionen im Kurs sind sofort zur Bearbeitung offen. Einige musst du durch Pilze freischalten, die du erhältst, wenn du eine Lektion beendest. Auch wenn du in einem Quiz nicht genug Punkte erreicht hast kann es sein, dass du diese Lektion erst nach Ablauf einer Wartezeit wiederholen kannst.;_slide_;Fuchs;Unter Fuchs findest du unser Maskottchen, den Fuchs als “Privatsphäreschnüffler”. Während du unsere App nutzt wirst du Eicheln erhalten. Je mehr Eicheln du erhältst und je mehr du somit über Privatheit am Smartphone lernst, desto mehr Animationen kannst du für den Fuchs freischalten. Das geht über das Hauptmenü unter Erfolge. Probier es einfach mal aus!;_slide_;Erfolge;In Erfolge haben wir dir verschiedene Stationen deiner Nutzung von FoxIT aufgezeichnet. Zum einen kannst du hier alle Trophäen sehen. Trophäen sind Belohnungen für bestimmte Ereignisse oder Handlungen von dir mit der App. Nutze die App, und du wirst schon bald einige Trophäen freigeschaltet haben.;Zum anderen kannst du hier die Animationen für den Fuchs freischalten. Wähle dazu einfach die gewünschte Animation aus. Hast du nicht genug Eicheln für diese Animation, wirst du darüber benachrichtigt, ansonsten werden dir die Eicheln für die Animation abgezogen und dafür die Animation freigeschaltet und unter “Fuchs” nutzbar.;_slide_;Einstellungen;In den Einstellungen findest du zum Beispiel ein kurzes FAQ, unsere Kontaktdaten, ein Impressum und einige rechtliche Dinge, wie Lizenzen etc.. Außerdem kannst du hier die Analyse erneut starten, um dein Smartphone zu scannen. So kannst du dir einen Überblick darüber schaffen, was sich geändert hat wenn du eventuell Alternativen zu kritischen Apps nutzt oder ähnliches.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Passwörter;Warum brauchen wir Passwörter?;Info;0;3;1;1;Wir alle benutzen Passwörter. Ob es für unsere Accounts auf den Social Media-Plattformen wie Facebook, Instagram, Snapchat und Twitter oder für das Smartphone, den Jugendschutz am Fernseher, die E-Mail-Adresse oder die SIM-Karte ist, überall benutzen wir sie in verschiedenen Formen.; ;Doch was genau ist überhaupt ein Passwort? ;<img src="ht ://www.hilfe-im-netz.com/wp-content/uploads/2013/09/gmx-passwort-vergessen.jpg" alt="Passwort vergessen!" style="float:below">;_slide_;Ein Passwort ist eine Zeichenfolge, die zur Authentifizierung dient.;Authentifizierung heißt in diesem Kontext, dass die Person sich mit dem Passwort ausweist und damit ihre Identität bestätigt. Doch Passwörter gibt es nicht erst seit dem technologischen Zeitalter. Schon lange wird im Militär die Parole benutzt. Sie war ursprünglich ein Wort das zur Erkennung und zur Unterscheidung von Freund und Feind diente. Die Parole ist damit auch eine Art der Authentifizierung.;_slide_;Passwörter dienen also dazu, unsere Daten oder allgemeiner Inhalte vor Personen zu schützen, die nicht dazu berechtigt sind, sie zu sehen. Doch was kann passieren, wenn man schlechte Passwörter nutzt oder gar das standardmäßige Passwort nicht verändert? Welche konkreten Gefahren gehen daraus hervor?;_slide_;Sobald irgendwelche Informationen über dich online vorliegen, kann es zum Identitätsdiebstahl kommen. Das kann z.B. bedeuten, dass ein Angreifer ein Online-Profil von dir anlegt und sich als du ausgibt.;_slide_;Eine besondere Form des Identitätsdiebstahls ist die Identitätsübernahme. Diese kann entstehen, wenn man kein sicheres Passwort wählt und bedeutet, dass sich jemand anderes in dein/e Online-Profil/e wie Facebook, Paypal oder dein E-Mail-Account einloggen kann.;Dort kann er nicht nur deine hinterlegten Profildaten wie Bankverbindungen oder Kreditkartendaten missbrauchen, sondern auch deine Freunde um Geld oder andere Hilfe bitten. Umso mehr Daten über dich dem Angreifer zur Verfügung stehen, umso glaubhafter kann er auch vermitteln, dass er du ist.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Passwörter;Was ist ein sicheres Passwort?;Info;0;3;2;0;<img src="http://www.puravidamultimedia.com/wp-content/uploads/2014/04/funny-password-meme-6.jpg"  alt="old woman using same password always" style="float:below">;_slide_;Warum es nicht sinnvoll ist, überall dasselbe Passwort zu nutzen und was genau ein gutes Passwort ausmacht, werden wir in dieser Lektion betrachten.;Eine Liste der häufigsten Passwörter im Jahr 2015:;123456;password;12345678;qwerty;12345;123456789;football;1234;1234567;baseball;_slide_;Diese Passwörter sind nicht nur schlecht, weil sie so häufig vorkommen, sondern auch, weil sie alle sehr primitiv sind.;Hier ein paar Regeln für gute Passwörter:;1. keine kurzen Passwörter mit weniger als 8 Stellen;2. nicht mehrfach verwenden;3. keine persönlichen Daten wie Username, Geburtstag,…;4. keine einfachen Wörter aus Wörterbüchern, evtl. Neologismen verwenden;5. keine einfachen Transformationen wie passw0rd;_slide_;Doch wie soll man sich so viele Passwörter merken, wenn man wirklich bei jedem Account ein anderes verwenden soll?;Hier kann ein Passwortmanager hilfreich sein. Dieser kann nicht nur die Anmeldedaten speichern, sondern sie auch verschlüsseln. Natürlich ist hierbei Vorsicht geboten, da man im Passwortmanager sehr heikle Daten speichert.;Man sollte sich also ausreichend informieren, bevor man sich entscheidet. Ein verbreitetes OpenSource Programm ist Keepass(2).;Ansonsten gibt es natürlich die Methode, alle Passwörter auf einen Zettel aufzuschreiben und diesen an einem sicheren Ort aufzubewahren.;_slide_;Warum die Regeln von oben hilfreich sind, wird vor allem deutlich, wenn man versteht, wie Passwörter geknackt werden. Darüber kann man mehr im Kurs “Passwörter knacken” erfahren.;;;;;;;;;;;;;;;;;
Passwörter;Passwörter knacken;Info;0;3;3;0;Häufig werden Passwörter durch sogenannte Brute-Force-Angriffe gehackt. Das bedeutet eigentlich einfach nur, dass so lange Passwörter ausprobiert werden, bis eins stimmt.;_slide_;Dabei gibt es verschiedene Vorgehensweisen und um sie zu verstehen solltest du wissen, was der Passwortraum ist:;Dieser gibt an, wie viele Möglichkeiten es gibt das Passwort zu bilden, wenn man einen bestimmten Zeichenraum zur Verfügung hat (z.B. A-Z, a-z, 0-9 und Sonderzeichen) und eine Passwortlänge (z.B. 6-10 Zeichen).;_slide_;Diese Bestimmungen von Zeichenraum und Passwortlänge unterscheiden sich von Portal zu Portal und werden als Passwort-Policies bezeichnet.;_slide_;Bei einem Brute-Force-Angriff kann mit verschiedenen Systematiken vorgegangen werden. Einerseits kann der Angreifer alle möglichen Passwörter von kurz nach lang ausprobieren. Andererseits kann er aber auch Passwörter, die häufig vorkommen (siehe "was ist ein sicheres Passwort") oder Wörter aus dem allgemeinen Sprachgebrauch bevorzugen. Auch persönliche Informationen im Passwort wie Geburtsjahr oder Name des Haustiers etc. können es dem Angreifer erleichtern, das Passwort durch Ausprobieren zu bekommen.;_slide_;<img src="http://www.wordstream.com/images/difficult-captcha.jpg" alt="CAPTCHA" style="float:below">;Ein Schutz vor solchen Brute-Force-Angriffen sollen bspw. CAPTCHAs (Completely Automated Public Turing test to Tell Computers and Humans Apart) bieten.;Diese sollen unterscheiden, ob ein Mensch gerade das Passwort eingibt oder es automatisch von einem Computer eingegeben wird wie z.B. bei einem Brute-Force-Angriff.;Allerdings ist die Sicherheit der CAPTCHAs anzuzweifeln, da es billige Online-Services gibt, um diese zu lösen.;_slide_;Ein ähnlicher Ansatz sind die Bilderrätsel von Google, welche den meisten bereits über den Weg gelaufen sein dürften.;_slide_;Um zu sehen, wie groß der Einfluss von Passwortlänge und Zeichenraum auf die maximale Dauer eines Brute-Force-Angriffs ist, schauen wir uns ein paar Zahlen an.; ;Nach der angegeben Zeit ist spätestens das Passwort geknackt, wenn der Rechner 1 Milliarde Passwörter pro Sekunde ausprobiert, was ungefähr der Leistung eines modernen Standard-PCs mit leistungsfähiger Grafikkarte entspricht.;Bei einem Passwortraum von 96, was (A-Z,a-z,0-9, Sonderzeichen) bedeutet, dauert es bei 5 Zeichen Passwortlänge gerade mal 8 Sekunden MAXIMAL um das Passwort zu knacken.;Bei 6 Zeichen dauert es schon 13 Minuten.;Bei 8 Zeichen länge 84 Tage.;Bei einer Passwortlänge von 10 dauert es 2108 Jahre maximal, um es zu knacken und bei 12 Zeichen länge dauert es bis zu 19 Mio. Jahren.;;;;;;;;;;;;;;;;;;;;;;;
Passwörter;Passwort-Quiz;Quiz;7200000;4;4;0;[QUIZ]Was ist das vermutlich sicherste Passwort?;response+:Korrekt!;response-:Probiere es später noch einmal!;0h3ut3!;0Fussball;0IloveKevin;1Har4np?bw;_slide_;[QUIZ]Ein Passwort dient zur…;0Autorisation;0Ambiguität;1Authentifizierung;0Autarkie;_slide_;[QUIZ]Was gehört NICHT zu den Regeln für ein sicheres Passwort?;0keine kurzen Passwörter mit weniger als 8 Stellen;0keine persönlichen Daten wie Username, Geburtstag,…;0nicht mehrfach verwenden;1keine Zeichen doppelt verwenden;_slide_;[QUIZ]Wie groß ist der folgende Zeichenraum?: (a-z, A-Z);84;107;152;30;_slide_;[QUIZ]Für was steht die Abkürzung CAPTCHA?;0Common Assign Private To Chiffre Habilitate Action;1Completely Automated Public Turing test to Tell Computers and Humans Apart;0Coding Ability Personal Turn Cheating Alignment;0Cabbage Asparagus Parsley Truffels Cauliflower Huckleberry Arrugula;_slide_;[CERT]5;Super gemacht! Jetzt hast du einiges über Passwörter gelernt. Vielleicht überdenkst du ja das ein oder andere Passwort, was du benutzt.;Oh, da ist wohl etwas schief gegagen. Versuch es doch später noch einmal.;;;;;;;;;;;
